route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
19024 - 28161,14127,2809,NA,49606,más de 30 min,19024,28161,2
19024 - 28167,7756,2014,NA,27848,más de 30 min,19024,28167,7
19024 - 28172,6121,1868,NA,19605,más de 30 min,19024,28172,3
19024 - 28176,19231,3831,NA,61799,más de 30 min,19024,28176,1
19024 - 28181,16756,3316,NA,55005,más de 30 min,19024,28181,1
19024 - 28901,13142,3308,NA,43627,más de 30 min,19024,28901,2
19024 - 28903,12262,2690,NA,36411,más de 30 min,19024,28903,19
19046 - 28002,5000,1504,3780,15831,driving_best_guess,19046,28002,37
19046 - 28004,18811,3621,NA,64117,más de 30 min,19046,28004,16
19046 - 28005,2662,1352,840,10326,transit,19046,28005,1182
19046 - 28006,8524,2009,5700,28604,más de 30 min,19046,28006,234
19046 - 28007,14476,2825,5445,47430,más de 30 min,19046,28007,31
19046 - 28008,21117,4336,NA,73340,más de 30 min,19046,28008,4
19046 - 28009,5531,1739,3780,17881,driving_best_guess,19046,28009,21
19046 - 28011,8107,2499,NA,26625,más de 30 min,19046,28011,1
19046 - 28012,4320,1361,NA,12507,driving_best_guess,19046,28012,3
19046 - 28013,14709,3759,7200,54385,más de 30 min,19046,28013,42
19046 - 28014,7564,2136,4652,27099,más de 30 min,19046,28014,37
19046 - 28015,17338,3306,NA,56045,más de 30 min,19046,28015,12
19046 - 28016,15265,4297,9720,46784,más de 30 min,19046,28016,1
19046 - 28021,11858,3224,10174,39403,más de 30 min,19046,28021,1
19046 - 28022,15703,2956,8729,50251,más de 30 min,19046,28022,8
19046 - 28024,17853,3799,16020,57151,más de 30 min,19046,28024,10
19046 - 28026,18162,3579,7792,58112,más de 30 min,19046,28026,1
19046 - 28032,2233,818,3410,7886,driving_best_guess,19046,28032,55
19046 - 28033,7743,2286,NA,24996,más de 30 min,19046,28033,1
19046 - 28037,28926,6149,NA,97358,más de 30 min,19046,28037,2
19046 - 28038,20124,4424,9780,64345,más de 30 min,19046,28038,2
19046 - 28040,12248,3365,6540,44850,más de 30 min,19046,28040,12
19046 - 28041,5707,1623,3420,17738,driving_best_guess,19046,28041,10
19046 - 28042,23003,4275,9497,75242,más de 30 min,19046,28042,2
