code,inside,outside,workers_count,inside_per,outside_per,places,statistical_zone,name,province,loc_string
28109,148,442,590,0.25084745762711863,0.7491525423728813,69,10,Pelayos de la Presa,Madrid,Pelayos+de+la+Presa+Madrid+spain
28110,114,636,750,0.152,0.848,70,08,Perales de Tajuña,Madrid,Perales+de+Tajuña+Madrid+spain
28111,37,196,233,0.15879828326180256,0.8412017167381974,47,08,Pezuela de las Torres,Madrid,Pezuela+de+las+Torres+Madrid+spain
28112,8,41,49,0.16326530612244897,0.8367346938775511,25,06,Pinilla del Valle,Madrid,Pinilla+del+Valle+Madrid+spain
28113,4241,13782,18023,0.23531043666426232,0.7646895633357377,114,04,Pinto,Madrid,Pinto+Madrid+spain
28114,2,41,43,0.046511627906976744,0.9534883720930233,27,06,Piñuecar-Gandullas,Madrid,Piñuecar-Gandullas+Madrid+spain
28115,6278,20337,26615,0.23588202141649445,0.7641179785835055,118,05,Pozuelo de Alarcón,Madrid,Pozuelo+de+Alarcón+Madrid+spain
28116,16,363,379,0.04221635883905013,0.9577836411609498,60,08,Pozuelo del Rey,Madrid,Pozuelo+del+Rey+Madrid+spain
28117,6,33,39,0.15384615384615385,0.8461538461538461,18,06,Prádena del Rincón,Madrid,Prádena+del+Rincón+Madrid+spain
28118,3,19,22,0.13636363636363635,0.8636363636363636,15,06,Puebla de la Sierra,Madrid,Puebla+de+la+Sierra+Madrid+spain
28119,98,962,1060,0.09245283018867924,0.9075471698113208,77,09,Quijorna,Madrid,Quijorna+Madrid+spain
28120,190,260,450,0.4222222222222222,0.5777777777777777,62,06,Rascafría,Madrid,Rascafría+Madrid+spain
28121,10,80,90,0.1111111111111111,0.8888888888888888,37,06,Redueña,Madrid,Redueña+Madrid+spain
28122,23,165,188,0.12234042553191489,0.8776595744680851,41,07,Ribatejada,Madrid,Ribatejada+Madrid+spain
28123,5658,25557,31215,0.18125901009130227,0.8187409899086977,130,03,Rivas-Vaciamadrid,Madrid,Rivas-Vaciamadrid+Madrid+spain
