status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Rivas-Vaciamadrid,28123,driving,optimistic,53075,2318,2112,1530000000
OK,Alovera,19024,Las Rozas de Madrid,28127,driving,optimistic,71686,2919,2754,1530000000
OK,Alovera,19024,San Agustín del Guadalix,28129,driving,optimistic,55104,2331,2192,1530000000
OK,Alovera,19024,San Fernando de Henares,28130,driving,optimistic,40116,1681,1538,1530000000
OK,Alovera,19024,San Sebastián de los Reyes,28134,driving,optimistic,45338,2090,1972,1530000000
OK,Alovera,19024,Los Santos de la Humosa,28137,driving,optimistic,17199,924,867,1530000000
OK,Alovera,19024,Soto del Real,28144,driving,optimistic,82397,3372,3206,1530000000
OK,Alovera,19024,Torrejón de Ardoz,28148,driving,optimistic,30617,1643,1472,1530000000
OK,Alovera,19024,Torres de la Alameda,28154,driving,optimistic,34965,1664,1565,1530000000
OK,Alovera,19024,Valdeavero,28156,driving,optimistic,15671,1216,1201,1530000000
OK,Alovera,19024,Valdemoro,28161,driving,optimistic,72437,2771,2550,1530000000
OK,Alovera,19024,Velilla de San Antonio,28167,driving,optimistic,40069,1987,1826,1530000000
OK,Alovera,19024,Villalbilla,28172,driving,optimistic,34460,1818,1673,1530000000
OK,Alovera,19024,Villanueva de la Cañada,28176,driving,optimistic,89828,3710,3506,1530000000
OK,Alovera,19024,Villaviciosa de Odón,28181,driving,optimistic,79437,3284,3037,1530000000
OK,Alovera,19024,Lozoyuela-Navas-Sieteiglesias,28901,driving,optimistic,87028,3249,3046,1530000000
OK,Alovera,19024,Tres Cantos,28903,driving,optimistic,61719,2583,2436,1530000000
OK,Azuqueca de Henares,19046,Ajalvir,28002,driving,optimistic,27556,1455,1346,1530000000
OK,Azuqueca de Henares,19046,El Alamo,28004,driving,optimistic,85785,3551,3317,1530000000
OK,Azuqueca de Henares,19046,Alcalá de Henares,28005,driving,optimistic,14366,1284,1098,1530000000
OK,Azuqueca de Henares,19046,Alcobendas,28006,driving,optimistic,39579,1948,1796,1530000000
OK,Azuqueca de Henares,19046,Alcorcón,28007,driving,optimistic,61846,2779,2562,1530000000
OK,Azuqueca de Henares,19046,Aldea del Fresno,28008,driving,optimistic,98885,4257,3985,1530000000
OK,Azuqueca de Henares,19046,Algete,28009,driving,optimistic,35749,1683,1575,1530000000
OK,Azuqueca de Henares,19046,Ambite,28011,driving,optimistic,41533,2442,2306,1530000000
OK,Azuqueca de Henares,19046,Anchuelo,28012,driving,optimistic,18464,1331,1265,1530000000
OK,Azuqueca de Henares,19046,Aranjuez,28013,driving,optimistic,87734,3683,3402,1530000000
OK,Azuqueca de Henares,19046,Arganda del Rey,28014,driving,optimistic,41222,2058,1908,1530000000
OK,Azuqueca de Henares,19046,Arroyomolinos,28015,driving,optimistic,77064,3262,3016,1530000000
OK,Azuqueca de Henares,19046,El Atazar,28016,driving,optimistic,68437,4110,4138,1530000000
OK,Azuqueca de Henares,19046,El Berrueco,28021,driving,optimistic,79036,3164,2988,1530000000
OK,Azuqueca de Henares,19046,Boadilla del Monte,28022,driving,optimistic,71542,2925,2700,1530000000
OK,Azuqueca de Henares,19046,Braojos,28024,driving,optimistic,96306,3738,3532,1530000000
OK,Azuqueca de Henares,19046,Brunete,28026,driving,optimistic,82086,3533,3297,1530000000
OK,Azuqueca de Henares,19046,Camarma de Esteruelas,28032,driving,optimistic,10555,803,759,1530000000
OK,Azuqueca de Henares,19046,Campo Real,28033,driving,optimistic,40482,2186,2048,1530000000
OK,Azuqueca de Henares,19046,Cenicientos,28037,driving,optimistic,139121,6070,5753,1530000000
OK,Azuqueca de Henares,19046,Cercedilla,28038,driving,optimistic,95240,4258,4077,1530000000
OK,Azuqueca de Henares,19046,Ciempozuelos,28040,driving,optimistic,74796,3283,3026,1530000000
OK,Azuqueca de Henares,19046,Cobeña,28041,driving,optimistic,30979,1578,1484,1530000000
