status,distance.value,duration.value,origin,origin_ine_code,dest_ine_code,destination
OK,62235,12383,"19208 Alovera, Guadalajara, Spain",19024,28079-17,"Villaverde, Madrid, Spain"
OK,49814,9527,"19208 Alovera, Guadalajara, Spain",19024,28079-18,"Villa de Vallecas, Madrid, Spain"
OK,46754,9040,"19208 Alovera, Guadalajara, Spain",19024,28079-19,"Vicálvaro, Madrid, Spain"
OK,47208,9399,"19208 Alovera, Guadalajara, Spain",19024,28079-20,"San Blas, Madrid, Spain"
OK,47197,9222,"19208 Alovera, Guadalajara, Spain",19024,28079-21,"Barajas, 28042 Madrid, Spain"
OK,81010,16438,"19208 Alovera, Guadalajara, Spain",19024,28080,"Majadahonda, Madrid, Spain"
OK,9908,1940,"19208 Alovera, Guadalajara, Spain",19024,28083,"28880 Meco, Madrid, Spain"
OK,38162,7112,"19208 Alovera, Guadalajara, Spain",19024,28084,"Mejorada del Campo, Madrid, Spain"
OK,80255,17800,"19208 Alovera, Guadalajara, Spain",19024,28090,"Moralzarzal, Madrid, Spain"
OK,82560,16621,"19208 Alovera, Guadalajara, Spain",19024,28092,"Móstoles, Madrid, Spain"
OK,97137,19419,"19208 Alovera, Guadalajara, Spain",19024,28096,"Navalcarnero, 28600, Madrid, Spain"
OK,32016,7012,"19208 Alovera, Guadalajara, Spain",19024,28104,"Paracuellos de Jarama, Madrid, Spain"
OK,73640,14059,"19208 Alovera, Guadalajara, Spain",19024,28106,"Parla, Madrid, Spain"
OK,67369,12844,"19208 Alovera, Guadalajara, Spain",19024,28113,"28320 Pinto, Madrid, Spain"
OK,74576,14927,"19208 Alovera, Guadalajara, Spain",19024,28115,"Pozuelo de Alarcón, Madrid, Spain"
OK,48309,9375,"19208 Alovera, Guadalajara, Spain",19024,28123,"Rivas-Vaciamadrid, Madrid, Spain"
OK,83627,16929,"19208 Alovera, Guadalajara, Spain",19024,28127,"Las Rozas, Madrid, Spain"
OK,46623,10042,"19208 Alovera, Guadalajara, Spain",19024,28129,"28750 San Agustín del Guadalix, Madrid, Spain"
OK,35525,6990,"19208 Alovera, Guadalajara, Spain",19024,28130,"San Fernando de Henares, 28830, Madrid, Spain"
OK,37505,7969,"19208 Alovera, Guadalajara, Spain",19024,28134,"San Sebastián de los Reyes, Madrid, Spain"
OK,15136,3955,"19208 Alovera, Guadalajara, Spain",19024,28137,"28817 Los Santos de la Humosa, Madrid, Spain"
OK,70595,15508,"19208 Alovera, Guadalajara, Spain",19024,28144,"28791 Soto del Real, Madrid, Spain"
OK,29989,5576,"19208 Alovera, Guadalajara, Spain",19024,28148,"Torrejón de Ardoz, Madrid, Spain"
OK,29809,6134,"19208 Alovera, Guadalajara, Spain",19024,28154,"28813 Torres de la Alameda, Madrid, Spain"
OK,10177,2380,"19208 Alovera, Guadalajara, Spain",19024,28156,"Valdeavero, Madrid, Spain"
OK,73876,14127,"19208 Alovera, Guadalajara, Spain",19024,28161,"Valdemoro, Madrid, Spain"
OK,41701,7756,"19208 Alovera, Guadalajara, Spain",19024,28167,"Velilla de San Antonio, Madrid, Spain"
OK,29518,6121,"19208 Alovera, Guadalajara, Spain",19024,28172,"28810 Villalbilla, Madrid, Spain"
OK,95097,19231,"19208 Alovera, Guadalajara, Spain",19024,28176,"28691 Villanueva de la Cañada, Madrid, Spain"
OK,84040,16756,"19208 Alovera, Guadalajara, Spain",19024,28181,"Villaviciosa de Odón, Madrid, Spain"
OK,58620,13142,"19208 Alovera, Guadalajara, Spain",19024,28901,"28752 Lozoyuela, Madrid, Spain"
OK,56195,12262,"19208 Alovera, Guadalajara, Spain",19024,28903,"28760 Tres Cantos, Madrid, Spain"
OK,22373,5000,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28002,"28864 Ajalvir, Madrid, Spain"
OK,95369,18811,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28004,"28607 El Álamo, Madrid, Spain"
OK,14628,2662,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28005,"Alcala de Henares, Madrid, Spain"
OK,39284,8524,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28006,"Alcobendas, Madrid, Spain"
OK,69489,14476,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28007,"Alcorcón, Madrid, Spain"
OK,108796,21117,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28008,"28620 Aldea del Fresno, Madrid, Spain"
OK,24652,5531,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28009,"28110 Algete, Madrid, Spain"
OK,37465,8107,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28011,"28580 Ambite, Madrid, Spain"
OK,16294,4320,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28012,"28818 Anchuelo, Madrid, Spain"
OK,77184,14709,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28013,"28300 Aranjuez, Madrid, Spain"
OK,37485,7564,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,85779,17338,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,61773,15265,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28016,"28189 El Atazar, Madrid, Spain"
OK,52367,11858,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28021,"28192 El Berrueco, Madrid, Spain"
OK,76510,15703,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28022,"Boadilla del Monte, Madrid, Spain"
OK,75834,17853,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28024,"28737 Braojos, Madrid, Spain"
