route,origin_ine_code,destination_ine_code,workers_count
19046 - 28177,19046,28177,2
19046 - 28181,19046,28181,1
19046 - 28903,19046,28903,53
19058 - 28002,19058,28002,6
19058 - 28004,19058,28004,4
19058 - 28005,19058,28005,173
19058 - 28006,19058,28006,34
19058 - 28007,19058,28007,6
19058 - 28009,19058,28009,3
19058 - 28012,19058,28012,2
19058 - 28013,19058,28013,16
19058 - 28014,19058,28014,5
19058 - 28015,19058,28015,2
19058 - 28022,19058,28022,2
19058 - 28025,19058,28025,1
19058 - 28032,19058,28032,4
19058 - 28033,19058,28033,1
19058 - 28038,19058,28038,1
19058 - 28041,19058,28041,1
19058 - 28045,19058,28045,2
19058 - 28048,19058,28048,1
19058 - 28049,19058,28049,17
19058 - 28053,19058,28053,3
19058 - 28058,19058,28058,3
19058 - 28059,19058,28059,1
19058 - 28061,19058,28061,1
19058 - 28065,19058,28065,13
19058 - 28066,19058,28066,1
19058 - 28067,19058,28067,2
19058 - 28074,19058,28074,9
19058 - 28079,19058,28079,6
19058 - 28079-01,19058,28079-01,30
19058 - 28079-02,19058,28079-02,12
19058 - 28079-03,19058,28079-03,20
19058 - 28079-04,19058,28079-04,46
19058 - 28079-05,19058,28079-05,34
19058 - 28079-06,19058,28079-06,25
19058 - 28079-07,19058,28079-07,17
19058 - 28079-08,19058,28079-08,28
19058 - 28079-09,19058,28079-09,17
19058 - 28079-10,19058,28079-10,9
19058 - 28079-11,19058,28079-11,5
19058 - 28079-12,19058,28079-12,5
19058 - 28079-13,19058,28079-13,10
19058 - 28079-14,19058,28079-14,1
19058 - 28079-15,19058,28079-15,22
19058 - 28079-16,19058,28079-16,28
19058 - 28079-17,19058,28079-17,2
19058 - 28079-18,19058,28079-18,9
19058 - 28079-19,19058,28079-19,1
19058 - 28079-20,19058,28079-20,49
19058 - 28079-21,19058,28079-21,19
19058 - 28080,19058,28080,3
19058 - 28083,19058,28083,30
19058 - 28084,19058,28084,5
19058 - 28092,19058,28092,2
19058 - 28100,19058,28100,1
19058 - 28104,19058,28104,3
19058 - 28113,19058,28113,3
19058 - 28115,19058,28115,10
19058 - 28123,19058,28123,2
19058 - 28127,19058,28127,9
19058 - 28129,19058,28129,1
19058 - 28130,19058,28130,10
19058 - 28132,19058,28132,2
19058 - 28134,19058,28134,5
19058 - 28148,19058,28148,15
19058 - 28154,19058,28154,2
19058 - 28161,19058,28161,4
19058 - 28169,19058,28169,1
19058 - 28176,19058,28176,1
19058 - 28903,19058,28903,12
19071 - 28001,19071,28001,5
19071 - 28002,19071,28002,16
19071 - 28004,19071,28004,8
19071 - 28005,19071,28005,154
19071 - 28006,19071,28006,213
19071 - 28007,19071,28007,24
19071 - 28009,19071,28009,90
19071 - 28010,19071,28010,1
19071 - 28013,19071,28013,11
19071 - 28014,19071,28014,1
19071 - 28021,19071,28021,2
19071 - 28022,19071,28022,5
19071 - 28024,19071,28024,5
19071 - 28027,19071,28027,1
19071 - 28032,19071,28032,3
19071 - 28036,19071,28036,1
19071 - 28037,19071,28037,1
19071 - 28040,19071,28040,3
19071 - 28041,19071,28041,9
19071 - 28042,19071,28042,3
19071 - 28045,19071,28045,10
19071 - 28046,19071,28046,2
19071 - 28047,19071,28047,9
19071 - 28049,19071,28049,25
19071 - 28053,19071,28053,15
19071 - 28057,19071,28057,6
19071 - 28058,19071,28058,4
19071 - 28059,19071,28059,25
19071 - 28061,19071,28061,1
19071 - 28065,19071,28065,16
19071 - 28066,19071,28066,17
19071 - 28073,19071,28073,2
19071 - 28074,19071,28074,16
19071 - 28075,19071,28075,1
19071 - 28079,19071,28079,13
19071 - 28079-01,19071,28079-01,37
19071 - 28079-02,19071,28079-02,29
19071 - 28079-03,19071,28079-03,26
19071 - 28079-04,19071,28079-04,52
19071 - 28079-05,19071,28079-05,71
19071 - 28079-06,19071,28079-06,37
19071 - 28079-07,19071,28079-07,46
19071 - 28079-08,19071,28079-08,72
19071 - 28079-09,19071,28079-09,37
19071 - 28079-10,19071,28079-10,9
19071 - 28079-11,19071,28079-11,12
19071 - 28079-12,19071,28079-12,5
