route,origin_ine_code,destination_ine_code,workers_count
28020 - 28079-21,28020,28079-21,1
28020 - 28088,28020,28088,1
28020 - 28117,28020,28117,1
28020 - 28124,28020,28124,1
28020 - 28129,28020,28129,2
28020 - 28148,28020,28148,1
28020 - 28158,28020,28158,1
28020 - 28901,28020,28901,1
28021 - 28005,28021,28005,3
28021 - 28006,28021,28006,3
28021 - 28007,28021,28007,1
28021 - 28009,28021,28009,2
28021 - 28020,28021,28020,2
28021 - 28021,28021,28021,41
28021 - 28027,28021,28027,7
28021 - 28030,28021,28030,8
28021 - 28034,28021,28034,1
28021 - 28040,28021,28040,2
28021 - 28045,28021,28045,1
28021 - 28053,28021,28053,1
28021 - 28059,28021,28059,1
28021 - 28064,28021,28064,1
28021 - 28065,28021,28065,1
28021 - 28071,28021,28071,3
28021 - 28079,28021,28079,1
28021 - 28079-01,28021,28079-01,4
28021 - 28079-02,28021,28079-02,1
28021 - 28079-03,28021,28079-03,3
28021 - 28079-04,28021,28079-04,1
28021 - 28079-05,28021,28079-05,2
28021 - 28079-06,28021,28079-06,7
28021 - 28079-07,28021,28079-07,12
28021 - 28079-08,28021,28079-08,4
28021 - 28079-09,28021,28079-09,2
28021 - 28079-11,28021,28079-11,1
28021 - 28079-13,28021,28079-13,2
28021 - 28079-14,28021,28079-14,1
28021 - 28079-15,28021,28079-15,5
28021 - 28079-16,28021,28079-16,5
28021 - 28079-17,28021,28079-17,1
28021 - 28079-18,28021,28079-18,3
28021 - 28079-20,28021,28079-20,7
28021 - 28079-21,28021,28079-21,3
28021 - 28080,28021,28080,1
28021 - 28085,28021,28085,2
28021 - 28086,28021,28086,1
28021 - 28088,28021,28088,1
28021 - 28096,28021,28096,1
28021 - 28114,28021,28114,1
28021 - 28115,28021,28115,1
28021 - 28127,28021,28127,2
28021 - 28129,28021,28129,1
28021 - 28130,28021,28130,2
28021 - 28134,28021,28134,4
28021 - 28143,28021,28143,1
28021 - 28145,28021,28145,1
28021 - 28148,28021,28148,6
28021 - 28151,28021,28151,1
28021 - 28153,28021,28153,1
28021 - 28163,28021,28163,1
28021 - 28901,28021,28901,5
28021 - 28902,28021,28902,1
28021 - 28903,28021,28903,3
28022 - 28002,28022,28002,14
28022 - 28004,28022,28004,4
28022 - 28005,28022,28005,64
28022 - 28006,28022,28006,389
28022 - 28007,28022,28007,538
28022 - 28009,28022,28009,12
28022 - 28010,28022,28010,8
28022 - 28013,28022,28013,22
28022 - 28014,28022,28014,34
28022 - 28015,28022,28015,14
28022 - 28018,28022,28018,1
28022 - 28022,28022,28022,2588
28022 - 28023,28022,28023,1
28022 - 28026,28022,28026,27
28022 - 28031,28022,28031,2
28022 - 28032,28022,28032,3
28022 - 28033,28022,28033,2
28022 - 28034,28022,28034,1
28022 - 28038,28022,28038,1
28022 - 28040,28022,28040,7
28022 - 28041,28022,28041,2
28022 - 28044,28022,28044,2
28022 - 28045,28022,28045,16
28022 - 28046,28022,28046,1
28022 - 28047,28022,28047,41
28022 - 28049,28022,28049,55
28022 - 28050,28022,28050,2
28022 - 28051,28022,28051,1
28022 - 28053,28022,28053,4
28022 - 28054,28022,28054,6
28022 - 28055,28022,28055,1
28022 - 28058,28022,28058,270
28022 - 28059,28022,28059,2
28022 - 28061,28022,28061,10
28022 - 28065,28022,28065,253
28022 - 28066,28022,28066,8
28022 - 28067,28022,28067,2
28022 - 28068,28022,28068,3
28022 - 28070,28022,28070,1
28022 - 28073,28022,28073,21
28022 - 28074,28022,28074,448
28022 - 28075,28022,28075,4
28022 - 28076,28022,28076,1
28022 - 28078,28022,28078,1
28022 - 28079,28022,28079,128
28022 - 28079-01,28022,28079-01,624
28022 - 28079-02,28022,28079-02,311
28022 - 28079-03,28022,28079-03,210
28022 - 28079-04,28022,28079-04,556
28022 - 28079-05,28022,28079-05,686
28022 - 28079-06,28022,28079-06,548
28022 - 28079-07,28022,28079-07,528
28022 - 28079-08,28022,28079-08,612
28022 - 28079-09,28022,28079-09,611
28022 - 28079-10,28022,28079-10,175
28022 - 28079-11,28022,28079-11,153
28022 - 28079-12,28022,28079-12,126
28022 - 28079-13,28022,28079-13,98
28022 - 28079-14,28022,28079-14,35
28022 - 28079-15,28022,28079-15,309
28022 - 28079-16,28022,28079-16,470
28022 - 28079-17,28022,28079-17,144
28022 - 28079-18,28022,28079-18,123
28022 - 28079-19,28022,28079-19,31
28022 - 28079-20,28022,28079-20,436
28022 - 28079-21,28022,28079-21,304
28022 - 28080,28022,28080,637
28022 - 28083,28022,28083,3
28022 - 28084,28022,28084,4
28022 - 28088,28022,28088,1
28022 - 28089,28022,28089,1
28022 - 28090,28022,28090,3
28022 - 28091,28022,28091,1
28022 - 28092,28022,28092,380
28022 - 28093,28022,28093,1
28022 - 28095,28022,28095,4
28022 - 28096,28022,28096,35
28022 - 28099,28022,28099,2
28022 - 28104,28022,28104,7
28022 - 28106,28022,28106,29
28022 - 28109,28022,28109,3
28022 - 28113,28022,28113,36
28022 - 28115,28022,28115,1425
28022 - 28119,28022,28119,2
28022 - 28120,28022,28120,1
28022 - 28123,28022,28123,17
28022 - 28125,28022,28125,2
28022 - 28127,28022,28127,540
28022 - 28128,28022,28128,3
28022 - 28129,28022,28129,3
28022 - 28130,28022,28130,37
28022 - 28131,28022,28131,5
28022 - 28132,28022,28132,5
28022 - 28133,28022,28133,3
28022 - 28134,28022,28134,113
28022 - 28141,28022,28141,13
28022 - 28146,28022,28146,1
28022 - 28148,28022,28148,76
28022 - 28149,28022,28149,4
28022 - 28150,28022,28150,2
28022 - 28151,28022,28151,4
28022 - 28152,28022,28152,13
28022 - 28154,28022,28154,2
28022 - 28160,28022,28160,6
28022 - 28161,28022,28161,28
28022 - 28162,28022,28162,2
28022 - 28167,28022,28167,1
28022 - 28171,28022,28171,1
28022 - 28172,28022,28172,1
28022 - 28174,28022,28174,1
28022 - 28175,28022,28175,1
28022 - 28176,28022,28176,76
28022 - 28177,28022,28177,16
28022 - 28178,28022,28178,1
28022 - 28180,28022,28180,4
28022 - 28181,28022,28181,190
28022 - 28183,28022,28183,1
28022 - 28903,28022,28903,171
28023 - 28002,28023,28002,2
28023 - 28004,28023,28004,1
28023 - 28005,28023,28005,13
28023 - 28006,28023,28006,106
28023 - 28007,28023,28007,14
28023 - 28009,28023,28009,5
28023 - 28010,28023,28010,13
28023 - 28013,28023,28013,6
28023 - 28014,28023,28014,4
28023 - 28018,28023,28018,46
28023 - 28022,28023,28022,13
28023 - 28023,28023,28023,312
28023 - 28025,28023,28025,1
28023 - 28026,28023,28026,1
28023 - 28032,28023,28032,1
28023 - 28038,28023,28038,13
28023 - 28040,28023,28040,1
28023 - 28044,28023,28044,10
28023 - 28045,28023,28045,81
28023 - 28046,28023,28046,18
28023 - 28047,28023,28047,128
28023 - 28049,28023,28049,6
28023 - 28054,28023,28054,13
28023 - 28058,28023,28058,5
28023 - 28059,28023,28059,1
28023 - 28061,28023,28061,11
28023 - 28063,28023,28063,1
28023 - 28065,28023,28065,14
28023 - 28066,28023,28066,2
28023 - 28067,28023,28067,1
28023 - 28068,28023,28068,8
28023 - 28072,28023,28072,11
28023 - 28074,28023,28074,10
28023 - 28075,28023,28075,1
28023 - 28076,28023,28076,1
28023 - 28079,28023,28079,25
28023 - 28079-01,28023,28079-01,74
28023 - 28079-02,28023,28079-02,31
28023 - 28079-03,28023,28079-03,36
28023 - 28079-04,28023,28079-04,72
28023 - 28079-05,28023,28079-05,86
28023 - 28079-06,28023,28079-06,52
28023 - 28079-07,28023,28079-07,68
28023 - 28079-08,28023,28079-08,83
28023 - 28079-09,28023,28079-09,53
28023 - 28079-10,28023,28079-10,17
28023 - 28079-11,28023,28079-11,26
28023 - 28079-12,28023,28079-12,12
28023 - 28079-13,28023,28079-13,6
28023 - 28079-14,28023,28079-14,7
28023 - 28079-15,28023,28079-15,44
28023 - 28079-16,28023,28079-16,66
28023 - 28079-17,28023,28079-17,21
28023 - 28079-18,28023,28079-18,15
28023 - 28079-19,28023,28079-19,6
28023 - 28079-20,28023,28079-20,67
28023 - 28079-21,28023,28079-21,46
28023 - 28080,28023,28080,18
28023 - 28082,28023,28082,48
28023 - 28083,28023,28083,1
28023 - 28084,28023,28084,1
28023 - 28085,28023,28085,2
28023 - 28087,28023,28087,2
28023 - 28089,28023,28089,1
28023 - 28090,28023,28090,94
28023 - 28092,28023,28092,5
28023 - 28093,28023,28093,5
28023 - 28104,28023,28104,1
28023 - 28108,28023,28108,1
28023 - 28113,28023,28113,2
28023 - 28115,28023,28115,60
28023 - 28120,28023,28120,3
28023 - 28123,28023,28123,2
28023 - 28125,28023,28125,1
28023 - 28127,28023,28127,80
28023 - 28129,28023,28129,7
28023 - 28130,28023,28130,4
28023 - 28131,28023,28131,5
28023 - 28132,28023,28132,1
28023 - 28134,28023,28134,37
28023 - 28144,28023,28144,12
28023 - 28148,28023,28148,12
28023 - 28151,28023,28151,2
28023 - 28152,28023,28152,19
28023 - 28153,28023,28153,1
28023 - 28154,28023,28154,1
28023 - 28161,28023,28161,5
28023 - 28176,28023,28176,4
28023 - 28177,28023,28177,4
28023 - 28178,28023,28178,1
28023 - 28181,28023,28181,39
28023 - 28903,28023,28903,137
28024 - 28006,28024,28006,6
28024 - 28009,28024,28009,1
28024 - 28021,28024,28021,1
28024 - 28024,28024,28024,9
28024 - 28027,28024,28027,7
28024 - 28045,28024,28045,1
28024 - 28047,28024,28047,1
28024 - 28064,28024,28064,2
28024 - 28070,28024,28070,1
28024 - 28079,28024,28079,4
28024 - 28079-02,28024,28079-02,2
28024 - 28079-04,28024,28079-04,5
28024 - 28079-05,28024,28079-05,2
28024 - 28079-06,28024,28079-06,3
28024 - 28079-08,28024,28079-08,2
28024 - 28079-09,28024,28079-09,2
28024 - 28079-10,28024,28079-10,3
28024 - 28079-13,28024,28079-13,2
28024 - 28079-16,28024,28079-16,1
28024 - 28079-20,28024,28079-20,1
28024 - 28079-21,28024,28079-21,3
28024 - 28080,28024,28080,1
28024 - 28088,28024,28088,2
28024 - 28134,28024,28134,1
28024 - 28148,28024,28148,1
28024 - 28151,28024,28151,1
28024 - 28153,28024,28153,1
28024 - 28182,28024,28182,1
28025 - 28005,28025,28005,11
28025 - 28014,28025,28014,15
28025 - 28022,28025,28022,1
28025 - 28025,28025,28025,39
28025 - 28033,28025,28033,1
28025 - 28049,28025,28049,1
28025 - 28055,28025,28055,5
28025 - 28061,28025,28061,1
28025 - 28065,28025,28065,1
28025 - 28074,28025,28074,1
28025 - 28075,28025,28075,1
28025 - 28079,28025,28079,1
28025 - 28079-01,28025,28079-01,3
28025 - 28079-02,28025,28079-02,3
28025 - 28079-03,28025,28079-03,4
28025 - 28079-04,28025,28079-04,4
28025 - 28079-05,28025,28079-05,2
28025 - 28079-07,28025,28079-07,11
28025 - 28079-09,28025,28079-09,1
28025 - 28079-10,28025,28079-10,1
28025 - 28079-11,28025,28079-11,5
28025 - 28079-12,28025,28079-12,1
28025 - 28079-13,28025,28079-13,3
28025 - 28079-16,28025,28079-16,2
28025 - 28079-18,28025,28079-18,5
28025 - 28079-20,28025,28079-20,1
28025 - 28092,28025,28092,1
28025 - 28100,28025,28100,1
28025 - 28113,28025,28113,1
28025 - 28123,28025,28123,3
28025 - 28134,28025,28134,1
28025 - 28148,28025,28148,2
28025 - 28155,28025,28155,2
28025 - 28167,28025,28167,1
28025 - 28180,28025,28180,9
28026 - 28005,28026,28005,15
28026 - 28006,28026,28006,57
28026 - 28007,28026,28007,103
28026 - 28008,28026,28008,6
28026 - 28009,28026,28009,1
28026 - 28010,28026,28010,1
28026 - 28013,28026,28013,11
28026 - 28014,28026,28014,10
28026 - 28015,28026,28015,10
28026 - 28017,28026,28017,1
28026 - 28022,28026,28022,300
28026 - 28026,28026,28026,517
28026 - 28032,28026,28032,1
28026 - 28040,28026,28040,2
28026 - 28041,28026,28041,1
28026 - 28042,28026,28042,2
28026 - 28044,28026,28044,3
28026 - 28045,28026,28045,3
28026 - 28047,28026,28047,10
28026 - 28049,28026,28049,4
28026 - 28051,28026,28051,5
28026 - 28053,28026,28053,1
28026 - 28054,28026,28054,4
28026 - 28057,28026,28057,1
28026 - 28058,28026,28058,35
28026 - 28059,28026,28059,3
28026 - 28061,28026,28061,8
28026 - 28065,28026,28065,67
28026 - 28066,28026,28066,6
28026 - 28068,28026,28068,1
28026 - 28072,28026,28072,3
28026 - 28073,28026,28073,9
28026 - 28074,28026,28074,54
28026 - 28075,28026,28075,2
28026 - 28079,28026,28079,27
28026 - 28079-01,28026,28079-01,95
28026 - 28079-02,28026,28079-02,37
28026 - 28079-03,28026,28079-03,59
28026 - 28079-04,28026,28079-04,88
28026 - 28079-05,28026,28079-05,104
28026 - 28079-06,28026,28079-06,71
28026 - 28079-07,28026,28079-07,74
28026 - 28079-08,28026,28079-08,72
28026 - 28079-09,28026,28079-09,99
28026 - 28079-10,28026,28079-10,37
28026 - 28079-11,28026,28079-11,33
28026 - 28079-12,28026,28079-12,19
28026 - 28079-13,28026,28079-13,22
28026 - 28079-14,28026,28079-14,8
28026 - 28079-15,28026,28079-15,45
28026 - 28079-16,28026,28079-16,53
28026 - 28079-17,28026,28079-17,30
28026 - 28079-18,28026,28079-18,18
28026 - 28079-19,28026,28079-19,5
28026 - 28079-20,28026,28079-20,73
28026 - 28079-21,28026,28079-21,36
28026 - 28080,28026,28080,186
28026 - 28084,28026,28084,1
28026 - 28085,28026,28085,1
28026 - 28089,28026,28089,8
28026 - 28092,28026,28092,104
28026 - 28095,28026,28095,4
28026 - 28096,28026,28096,20
28026 - 28099,28026,28099,3
28026 - 28104,28026,28104,1
28026 - 28106,28026,28106,9
28026 - 28113,28026,28113,5
28026 - 28115,28026,28115,160
28026 - 28119,28026,28119,15
28026 - 28123,28026,28123,8
28026 - 28125,28026,28125,1
28026 - 28127,28026,28127,143
28026 - 28129,28026,28129,1
28026 - 28130,28026,28130,16
28026 - 28131,28026,28131,3
28026 - 28132,28026,28132,2
28026 - 28133,28026,28133,4
28026 - 28134,28026,28134,23
28026 - 28135,28026,28135,2
28026 - 28140,28026,28140,1
28026 - 28141,28026,28141,46
28026 - 28148,28026,28148,16
28026 - 28149,28026,28149,2
28026 - 28152,28026,28152,3
28026 - 28160,28026,28160,10
28026 - 28161,28026,28161,8
28026 - 28162,28026,28162,1
28026 - 28164,28026,28164,1
28026 - 28174,28026,28174,2
28026 - 28175,28026,28175,1
28026 - 28176,28026,28176,208
28026 - 28177,28026,28177,22
28026 - 28178,28026,28178,5
28026 - 28181,28026,28181,92
28026 - 28903,28026,28903,17
28027 - 28001,28027,28001,2
28027 - 28005,28027,28005,4
28027 - 28006,28027,28006,18
28027 - 28007,28027,28007,2
28027 - 28009,28027,28009,1
28027 - 28013,28027,28013,1
28027 - 28014,28027,28014,6
28027 - 28020,28027,28020,3
28027 - 28021,28027,28021,2
28027 - 28022,28027,28022,2
28027 - 28024,28027,28024,3
28027 - 28027,28027,28027,205
28027 - 28028,28027,28028,1
28027 - 28029,28027,28029,3
28027 - 28030,28027,28030,5
28027 - 28034,28027,28034,1
28027 - 28045,28027,28045,4
28027 - 28047,28027,28047,4
28027 - 28052,28027,28052,1
28027 - 28062,28027,28062,8
28027 - 28063,28027,28063,6
28027 - 28064,28027,28064,7
28027 - 28065,28027,28065,2
28027 - 28067,28027,28067,2
28027 - 28069,28027,28069,1
28027 - 28070,28027,28070,9
28027 - 28071,28027,28071,2
28027 - 28076,28027,28076,2
28027 - 28079,28027,28079,7
28027 - 28079-01,28027,28079-01,5
28027 - 28079-02,28027,28079-02,15
28027 - 28079-03,28027,28079-03,4
28027 - 28079-04,28027,28079-04,13
28027 - 28079-05,28027,28079-05,14
28027 - 28079-06,28027,28079-06,8
28027 - 28079-07,28027,28079-07,18
28027 - 28079-08,28027,28079-08,10
28027 - 28079-09,28027,28079-09,8
28027 - 28079-10,28027,28079-10,1
28027 - 28079-11,28027,28079-11,1
28027 - 28079-13,28027,28079-13,3
28027 - 28079-14,28027,28079-14,1
28027 - 28079-15,28027,28079-15,6
28027 - 28079-16,28027,28079-16,8
28027 - 28079-18,28027,28079-18,1
28027 - 28079-20,28027,28079-20,20
28027 - 28079-21,28027,28079-21,9
28027 - 28080,28027,28080,1
28027 - 28086,28027,28086,2
28027 - 28088,28027,28088,17
28027 - 28097,28027,28097,1
28027 - 28114,28027,28114,3
28027 - 28115,28027,28115,4
28027 - 28118,28027,28118,1
28027 - 28120,28027,28120,1
28027 - 28123,28027,28123,1
28027 - 28126,28027,28126,1
28027 - 28127,28027,28127,2
28027 - 28129,28027,28129,9
28027 - 28130,28027,28130,2
28027 - 28134,28027,28134,15
28027 - 28138,28027,28138,1
28027 - 28143,28027,28143,3
28027 - 28148,28027,28148,1
28027 - 28151,28027,28151,2
28027 - 28182,28027,28182,4
28027 - 28901,28027,28901,6
28027 - 28902,28027,28902,7
28027 - 28903,28027,28903,4
28028 - 28005,28028,28005,4
28028 - 28006,28028,28006,50
28028 - 28007,28028,28007,3
28028 - 28009,28028,28009,6
28028 - 28014,28028,28014,1
28028 - 28021,28028,28021,4
28028 - 28022,28028,28022,1
28028 - 28027,28028,28027,4
28028 - 28028,28028,28028,147
28028 - 28029,28028,28029,6
28028 - 28030,28028,28030,5
28028 - 28034,28028,28034,4
28028 - 28038,28028,28038,1
28028 - 28040,28028,28040,1
28028 - 28041,28028,28041,3
28028 - 28045,28028,28045,34
28028 - 28046,28028,28046,1
28028 - 28047,28028,28047,12
28028 - 28049,28028,28049,4
28028 - 28058,28028,28058,1
28028 - 28063,28028,28063,1
28028 - 28065,28028,28065,2
28028 - 28067,28028,28067,2
28028 - 28074,28028,28074,3
28028 - 28079,28028,28079,6
28028 - 28079-01,28028,28079-01,28
28028 - 28079-02,28028,28079-02,19
28028 - 28079-03,28028,28079-03,13
28028 - 28079-04,28028,28079-04,14
28028 - 28079-05,28028,28079-05,30
28028 - 28079-06,28028,28079-06,14
28028 - 28079-07,28028,28079-07,15
28028 - 28079-08,28028,28079-08,25
28028 - 28079-09,28028,28079-09,7
28028 - 28079-10,28028,28079-10,4
28028 - 28079-11,28028,28079-11,7
28028 - 28079-12,28028,28079-12,3
28028 - 28079-13,28028,28079-13,4
28028 - 28079-14,28028,28079-14,2
28028 - 28079-15,28028,28079-15,10
28028 - 28079-16,28028,28079-16,24
28028 - 28079-17,28028,28079-17,8
28028 - 28079-18,28028,28079-18,7
28028 - 28079-19,28028,28079-19,1
28028 - 28079-20,28028,28079-20,19
28028 - 28079-21,28028,28079-21,22
28028 - 28080,28028,28080,4
28028 - 28082,28028,28082,4
28028 - 28083,28028,28083,3
28028 - 28085,28028,28085,13
28028 - 28086,28028,28086,1
28028 - 28088,28028,28088,1
28028 - 28092,28028,28092,6
28028 - 28094,28028,28094,9
28028 - 28104,28028,28104,2
28028 - 28108,28028,28108,3
28028 - 28113,28028,28113,2
28028 - 28115,28028,28115,13
28028 - 28122,28028,28122,1
28028 - 28123,28028,28123,3
28028 - 28127,28028,28127,7
28028 - 28129,28028,28129,3
28028 - 28130,28028,28130,1
28028 - 28131,28028,28131,3
28028 - 28134,28028,28134,16
28028 - 28144,28028,28144,11
28028 - 28148,28028,28148,5
28028 - 28151,28028,28151,2
28028 - 28152,28028,28152,1
28028 - 28153,28028,28153,1
28028 - 28154,28028,28154,1
28028 - 28158,28028,28158,17
28028 - 28162,28028,28162,3
28028 - 28169,28028,28169,3
28028 - 28901,28028,28901,13
28028 - 28902,28028,28902,2
28028 - 28903,28028,28903,16
28029 - 28005,28029,28005,3
28029 - 28006,28029,28006,14
28029 - 28007,28029,28007,2
28029 - 28009,28029,28009,4
28029 - 28018,28029,28018,1
28029 - 28021,28029,28021,1
28029 - 28029,28029,28029,40
28029 - 28030,28029,28030,4
28029 - 28032,28029,28032,1
28029 - 28045,28029,28045,5
28029 - 28047,28029,28047,1
28029 - 28049,28029,28049,2
28029 - 28058,28029,28058,1
28029 - 28064,28029,28064,1
28029 - 28070,28029,28070,1
28029 - 28079,28029,28079,2
28029 - 28079-01,28029,28079-01,5
28029 - 28079-02,28029,28079-02,5
28029 - 28079-03,28029,28079-03,2
28029 - 28079-04,28029,28079-04,2
28029 - 28079-05,28029,28079-05,9
28029 - 28079-06,28029,28079-06,9
28029 - 28079-07,28029,28079-07,4
28029 - 28079-08,28029,28079-08,16
28029 - 28079-09,28029,28079-09,6
28029 - 28079-10,28029,28079-10,3
28029 - 28079-11,28029,28079-11,4
28029 - 28079-14,28029,28079-14,2
28029 - 28079-15,28029,28079-15,5
28029 - 28079-16,28029,28079-16,7
28029 - 28079-18,28029,28079-18,1
28029 - 28079-19,28029,28079-19,2
28029 - 28079-20,28029,28079-20,5
28029 - 28079-21,28029,28079-21,2
28029 - 28080,28029,28080,3
28029 - 28085,28029,28085,1
28029 - 28086,28029,28086,2
28029 - 28108,28029,28108,1
28029 - 28115,28029,28115,3
28029 - 28127,28029,28127,4
28029 - 28129,28029,28129,8
28029 - 28130,28029,28130,4
28029 - 28134,28029,28134,12
28029 - 28144,28029,28144,1
28029 - 28148,28029,28148,2
28029 - 28151,28029,28151,4
28029 - 28153,28029,28153,1
28029 - 28161,28029,28161,2
28029 - 28169,28029,28169,2
28029 - 28901,28029,28901,3
28029 - 28902,28029,28902,2
28029 - 28903,28029,28903,8
28030 - 28002,28030,28002,1
28030 - 28005,28030,28005,26
28030 - 28006,28030,28006,52
28030 - 28007,28030,28007,1
28030 - 28009,28030,28009,4
28030 - 28020,28030,28020,1
28030 - 28021,28030,28021,8
28030 - 28022,28030,28022,3
28030 - 28027,28030,28027,18
28030 - 28028,28030,28028,4
28030 - 28029,28030,28029,9
28030 - 28030,28030,28030,215
28030 - 28045,28030,28045,13
28030 - 28047,28030,28047,5
28030 - 28049,28030,28049,4
28030 - 28058,28030,28058,3
28030 - 28061,28030,28061,2
28030 - 28062,28030,28062,1
28030 - 28063,28030,28063,2
28030 - 28065,28030,28065,5
28030 - 28067,28030,28067,1
28030 - 28070,28030,28070,1
28030 - 28074,28030,28074,3
28030 - 28075,28030,28075,1
28030 - 28076,28030,28076,1
28030 - 28079,28030,28079,5
28030 - 28079-01,28030,28079-01,16
28030 - 28079-02,28030,28079-02,12
28030 - 28079-03,28030,28079-03,6
28030 - 28079-04,28030,28079-04,15
28030 - 28079-05,28030,28079-05,18
28030 - 28079-06,28030,28079-06,20
28030 - 28079-07,28030,28079-07,19
28030 - 28079-08,28030,28079-08,19
28030 - 28079-09,28030,28079-09,8
28030 - 28079-10,28030,28079-10,4
28030 - 28079-11,28030,28079-11,2
28030 - 28079-12,28030,28079-12,1
28030 - 28079-13,28030,28079-13,8
28030 - 28079-15,28030,28079-15,12
28030 - 28079-16,28030,28079-16,19
28030 - 28079-17,28030,28079-17,5
28030 - 28079-18,28030,28079-18,10
28030 - 28079-19,28030,28079-19,1
28030 - 28079-20,28030,28079-20,14
28030 - 28079-21,28030,28079-21,17
28030 - 28080,28030,28080,4
28030 - 28084,28030,28084,1
28030 - 28085,28030,28085,3
28030 - 28086,28030,28086,4
28030 - 28088,28030,28088,2
28030 - 28092,28030,28092,2
28030 - 28094,28030,28094,2
28030 - 28104,28030,28104,1
28030 - 28106,28030,28106,1
28030 - 28107,28030,28107,1
28030 - 28108,28030,28108,4
28030 - 28113,28030,28113,1
28030 - 28115,28030,28115,6
28030 - 28118,28030,28118,1
28030 - 28127,28030,28127,8
28030 - 28129,28030,28129,16
28030 - 28130,28030,28130,1
28030 - 28134,28030,28134,30
28030 - 28143,28030,28143,2
28030 - 28144,28030,28144,1
28030 - 28145,28030,28145,1
28030 - 28148,28030,28148,9
28030 - 28151,28030,28151,10
28030 - 28152,28030,28152,2
28030 - 28153,28030,28153,3
28030 - 28156,28030,28156,1
28030 - 28158,28030,28158,2
28030 - 28169,28030,28169,3
28030 - 28181,28030,28181,1
28030 - 28901,28030,28901,22
28030 - 28903,28030,28903,19
28031 - 28006,28031,28006,4
28031 - 28007,28031,28007,15
28031 - 28013,28031,28013,1
28031 - 28015,28031,28015,4
28031 - 28022,28031,28022,7
28031 - 28026,28031,28026,3
28031 - 28031,28031,28031,223
28031 - 28032,28031,28032,1
28031 - 28037,28031,28037,10
28031 - 28047,28031,28047,4
28031 - 28049,28031,28049,2
28031 - 28051,28031,28051,4
28031 - 28054,28031,28054,2
28031 - 28058,28031,28058,12
28031 - 28065,28031,28065,8
28031 - 28066,28031,28066,1
28031 - 28073,28031,28073,5
28031 - 28074,28031,28074,6
28031 - 28079,28031,28079,9
28031 - 28079-01,28031,28079-01,17
28031 - 28079-02,28031,28079-02,7
28031 - 28079-03,28031,28079-03,5
28031 - 28079-04,28031,28079-04,7
28031 - 28079-05,28031,28079-05,13
28031 - 28079-06,28031,28079-06,11
28031 - 28079-07,28031,28079-07,18
28031 - 28079-08,28031,28079-08,17
28031 - 28079-09,28031,28079-09,24
28031 - 28079-10,28031,28079-10,6
28031 - 28079-11,28031,28079-11,2
28031 - 28079-12,28031,28079-12,2
28031 - 28079-13,28031,28079-13,23
28031 - 28079-14,28031,28079-14,1
28031 - 28079-15,28031,28079-15,6
28031 - 28079-16,28031,28079-16,5
28031 - 28079-17,28031,28079-17,10
28031 - 28079-18,28031,28079-18,6
28031 - 28079-19,28031,28079-19,2
28031 - 28079-20,28031,28079-20,7
28031 - 28079-21,28031,28079-21,7
28031 - 28080,28031,28080,8
28031 - 28083,28031,28083,1
28031 - 28092,28031,28092,16
28031 - 28096,28031,28096,7
28031 - 28104,28031,28104,1
28031 - 28109,28031,28109,5
28031 - 28115,28031,28115,7
28031 - 28123,28031,28123,4
28031 - 28127,28031,28127,3
28031 - 28128,28031,28128,5
28031 - 28130,28031,28130,3
28031 - 28131,28031,28131,6
28031 - 28133,28031,28133,25
28031 - 28134,28031,28134,3
28031 - 28141,28031,28141,8
28031 - 28148,28031,28148,1
28031 - 28161,28031,28161,2
28031 - 28171,28031,28171,10
28031 - 28174,28031,28174,12
28031 - 28177,28031,28177,1
28031 - 28181,28031,28181,2
28031 - 28903,28031,28903,2
28032 - 28002,28032,28002,19
28032 - 28005,28032,28005,632
28032 - 28006,28032,28006,52
28032 - 28007,28032,28007,7
28032 - 28009,28032,28009,7
28032 - 28013,28032,28013,4
28032 - 28014,28032,28014,13
28032 - 28022,28032,28022,1
28032 - 28024,28032,28024,1
28032 - 28032,28032,28032,297
28032 - 28040,28032,28040,2
28032 - 28045,28032,28045,1
28032 - 28049,28032,28049,33
28032 - 28053,28032,28053,40
28032 - 28054,28032,28054,1
28032 - 28058,28032,28058,9
28032 - 28059,28032,28059,5
28032 - 28065,28032,28065,17
28032 - 28067,28032,28067,1
28032 - 28068,28032,28068,1
28032 - 28073,28032,28073,3
28032 - 28074,28032,28074,5
28032 - 28075,28032,28075,5
28032 - 28079,28032,28079,14
28032 - 28079-01,28032,28079-01,36
28032 - 28079-02,28032,28079-02,21
28032 - 28079-03,28032,28079-03,23
28032 - 28079-04,28032,28079-04,55
28032 - 28079-05,28032,28079-05,54
28032 - 28079-06,28032,28079-06,33
28032 - 28079-07,28032,28079-07,24
28032 - 28079-08,28032,28079-08,29
28032 - 28079-09,28032,28079-09,37
28032 - 28079-10,28032,28079-10,9
28032 - 28079-11,28032,28079-11,15
28032 - 28079-12,28032,28079-12,10
28032 - 28079-13,28032,28079-13,21
28032 - 28079-14,28032,28079-14,2
28032 - 28079-15,28032,28079-15,29
28032 - 28079-16,28032,28079-16,51
28032 - 28079-17,28032,28079-17,11
28032 - 28079-18,28032,28079-18,19
28032 - 28079-19,28032,28079-19,5
28032 - 28079-20,28032,28079-20,72
28032 - 28079-21,28032,28079-21,51
28032 - 28080,28032,28080,6
28032 - 28083,28032,28083,113
28032 - 28084,28032,28084,5
