status,distance,duration,origin,destination,mode,traffic,departure_time,origin_ine_code,dest_ine_code,duration_in_traffic
OK,51869,2696,"19208 Alovera, Guadalajara, Spain","Tetuán, Madrid, Spain",driving,best_guess,1530000000,19024,28079-06,2875
OK,51419,2649,"19208 Alovera, Guadalajara, Spain","Chamberí, Madrid, Spain",driving,best_guess,1530000000,19024,28079-07,2888
OK,65483,2983,"19208 Alovera, Guadalajara, Spain","Fuencarral-El Pardo, 28048 Madrid, Spain",driving,best_guess,1530000000,19024,28079-08,3138
OK,66329,2677,"19208 Alovera, Guadalajara, Spain","Moncloa - Aravaca, Madrid, Spain",driving,best_guess,1530000000,19024,28079-09,2774
OK,60090,2981,"19208 Alovera, Guadalajara, Spain","Latina, Madrid, Spain",driving,best_guess,1530000000,19024,28079-10,3001
OK,60725,2810,"19208 Alovera, Guadalajara, Spain","Carabanchel, Madrid, Spain",driving,best_guess,1530000000,19024,28079-11,2823
OK,58635,2695,"19208 Alovera, Guadalajara, Spain","Usera, Madrid, Spain",driving,best_guess,1530000000,19024,28079-12,2717
OK,53885,2477,"19208 Alovera, Guadalajara, Spain","Puente de Vallecas, Madrid, Spain",driving,best_guess,1530000000,19024,28079-13,2495
OK,50425,2234,"19208 Alovera, Guadalajara, Spain","Moratalaz, 28030 Madrid, Spain",driving,best_guess,1530000000,19024,28079-14,2261
OK,45945,2045,"19208 Alovera, Guadalajara, Spain","Ciudad Lineal, Madrid, Spain",driving,best_guess,1530000000,19024,28079-15,2073
OK,45870,2073,"19208 Alovera, Guadalajara, Spain","Hortaleza, Madrid, Spain",driving,best_guess,1530000000,19024,28079-16,2105
OK,59378,2740,"19208 Alovera, Guadalajara, Spain","Villaverde, Madrid, Spain",driving,best_guess,1530000000,19024,28079-17,2783
OK,50814,1921,"19208 Alovera, Guadalajara, Spain","Villa de Vallecas, Madrid, Spain",driving,best_guess,1530000000,19024,28079-18,1945
OK,50140,2350,"19208 Alovera, Guadalajara, Spain","Vicálvaro, Madrid, Spain",driving,best_guess,1530000000,19024,28079-19,2371
OK,45124,2137,"19208 Alovera, Guadalajara, Spain","San Blas, Madrid, Spain",driving,best_guess,1530000000,19024,28079-20,2163
OK,43440,2012,"19208 Alovera, Guadalajara, Spain","Barajas, 28042 Madrid, Spain",driving,best_guess,1530000000,19024,28079-21,2043
OK,72364,3003,"19208 Alovera, Guadalajara, Spain","Majadahonda, Madrid, Spain",driving,best_guess,1530000000,19024,28080,3108
OK,11139,832,"19208 Alovera, Guadalajara, Spain","28880 Meco, Madrid, Spain",driving,best_guess,1530000000,19024,28083,854
OK,36398,1775,"19208 Alovera, Guadalajara, Spain","Mejorada del Campo, Madrid, Spain",driving,best_guess,1530000000,19024,28084,1817
OK,92047,3882,"19208 Alovera, Guadalajara, Spain","Moralzarzal, Madrid, Spain",driving,best_guess,1530000000,19024,28090,4020
OK,74680,3283,"19208 Alovera, Guadalajara, Spain","Móstoles, Madrid, Spain",driving,best_guess,1530000000,19024,28092,3314
OK,86210,3496,"19208 Alovera, Guadalajara, Spain","Navalcarnero, 28600, Madrid, Spain",driving,best_guess,1530000000,19024,28096,3533
OK,43953,1894,"19208 Alovera, Guadalajara, Spain","Paracuellos de Jarama, Madrid, Spain",driving,best_guess,1530000000,19024,28104,1918
OK,74487,3016,"19208 Alovera, Guadalajara, Spain","Parla, Madrid, Spain",driving,best_guess,1530000000,19024,28106,3057
OK,69315,2681,"19208 Alovera, Guadalajara, Spain","28320 Pinto, Madrid, Spain",driving,best_guess,1530000000,19024,28113,2717
OK,66978,2768,"19208 Alovera, Guadalajara, Spain","Pozuelo de Alarcón, Madrid, Spain",driving,best_guess,1530000000,19024,28115,2863
OK,53075,2317,"19208 Alovera, Guadalajara, Spain","Rivas-Vaciamadrid, Madrid, Spain",driving,best_guess,1530000000,19024,28123,2345
OK,71686,2921,"19208 Alovera, Guadalajara, Spain","Las Rozas, Madrid, Spain",driving,best_guess,1530000000,19024,28127,3020
OK,55104,2325,"19208 Alovera, Guadalajara, Spain","28750 San Agustín del Guadalix, Madrid, Spain",driving,best_guess,1530000000,19024,28129,2376
OK,40116,1680,"19208 Alovera, Guadalajara, Spain","San Fernando de Henares, 28830, Madrid, Spain",driving,best_guess,1530000000,19024,28130,1697
OK,45338,2095,"19208 Alovera, Guadalajara, Spain","San Sebastián de los Reyes, Madrid, Spain",driving,best_guess,1530000000,19024,28134,2138
OK,17199,925,"19208 Alovera, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",driving,best_guess,1530000000,19024,28137,948
OK,82397,3373,"19208 Alovera, Guadalajara, Spain","28791 Soto del Real, Madrid, Spain",driving,best_guess,1530000000,19024,28144,3529
OK,30617,1644,"19208 Alovera, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",driving,best_guess,1530000000,19024,28148,1675
OK,34965,1665,"19208 Alovera, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",driving,best_guess,1530000000,19024,28154,1732
OK,15671,1232,"19208 Alovera, Guadalajara, Spain","Valdeavero, Madrid, Spain",driving,best_guess,1530000000,19024,28156,1258
OK,72437,2769,"19208 Alovera, Guadalajara, Spain","Valdemoro, Madrid, Spain",driving,best_guess,1530000000,19024,28161,2809
OK,40069,1984,"19208 Alovera, Guadalajara, Spain","Velilla de San Antonio, Madrid, Spain",driving,best_guess,1530000000,19024,28167,2014
OK,34460,1818,"19208 Alovera, Guadalajara, Spain","28810 Villalbilla, Madrid, Spain",driving,best_guess,1530000000,19024,28172,1868
OK,89828,3713,"19208 Alovera, Guadalajara, Spain","28691 Villanueva de la Cañada, Madrid, Spain",driving,best_guess,1530000000,19024,28176,3831
OK,79437,3285,"19208 Alovera, Guadalajara, Spain","Villaviciosa de Odón, Madrid, Spain",driving,best_guess,1530000000,19024,28181,3316
OK,87028,3250,"19208 Alovera, Guadalajara, Spain","28752 Lozoyuela, Madrid, Spain",driving,best_guess,1530000000,19024,28901,3308
OK,61719,2587,"19208 Alovera, Guadalajara, Spain","28760 Tres Cantos, Madrid, Spain",driving,best_guess,1530000000,19024,28903,2690
OK,27556,1454,"19200 Azuqueca de Henares, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,best_guess,1530000000,19046,28002,1504
OK,85785,3541,"19200 Azuqueca de Henares, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,best_guess,1530000000,19046,28004,3621
OK,14366,1282,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,best_guess,1530000000,19046,28005,1352
OK,39579,1945,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,best_guess,1530000000,19046,28006,2009
OK,61846,2776,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,best_guess,1530000000,19046,28007,2825
OK,98885,4252,"19200 Azuqueca de Henares, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,best_guess,1530000000,19046,28008,4336
OK,35749,1680,"19200 Azuqueca de Henares, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,best_guess,1530000000,19046,28009,1739
OK,41533,2437,"19200 Azuqueca de Henares, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,best_guess,1530000000,19046,28011,2499
OK,18464,1331,"19200 Azuqueca de Henares, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,best_guess,1530000000,19046,28012,1361
OK,87734,3673,"19200 Azuqueca de Henares, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,best_guess,1530000000,19046,28013,3759
OK,41222,2055,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,best_guess,1530000000,19046,28014,2136
OK,77064,3261,"19200 Azuqueca de Henares, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,best_guess,1530000000,19046,28015,3306
OK,68437,4085,"19200 Azuqueca de Henares, Guadalajara, Spain","28189 El Atazar, Madrid, Spain",driving,best_guess,1530000000,19046,28016,4297
OK,79036,3164,"19200 Azuqueca de Henares, Guadalajara, Spain","28192 El Berrueco, Madrid, Spain",driving,best_guess,1530000000,19046,28021,3224
OK,71542,2922,"19200 Azuqueca de Henares, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,best_guess,1530000000,19046,28022,2956
OK,96306,3738,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 Braojos, Madrid, Spain",driving,best_guess,1530000000,19046,28024,3799
OK,82086,3530,"19200 Azuqueca de Henares, Guadalajara, Spain","28690 Brunete, Madrid, Spain",driving,best_guess,1530000000,19046,28026,3579
OK,10555,800,"19200 Azuqueca de Henares, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,best_guess,1530000000,19046,28032,818
OK,40482,2186,"19200 Azuqueca de Henares, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",driving,best_guess,1530000000,19046,28033,2286
OK,139121,6051,"19200 Azuqueca de Henares, Guadalajara, Spain","28650 Cenicientos, Madrid, Spain",driving,best_guess,1530000000,19046,28037,6149
OK,95240,4255,"19200 Azuqueca de Henares, Guadalajara, Spain","Cercedilla, Madrid, Spain",driving,best_guess,1530000000,19046,28038,4424
OK,74796,3279,"19200 Azuqueca de Henares, Guadalajara, Spain","28350 Ciempozuelos, Madrid, Spain",driving,best_guess,1530000000,19046,28040,3365
OK,30979,1575,"19200 Azuqueca de Henares, Guadalajara, Spain","28863 Cobeña, Madrid, Spain",driving,best_guess,1530000000,19046,28041,1623
OK,104683,4172,"19200 Azuqueca de Henares, Guadalajara, Spain","28213 Colmenar del Arroyo, Madrid, Spain",driving,best_guess,1530000000,19046,28042,4275
OK,72737,3343,"19200 Azuqueca de Henares, Guadalajara, Spain","28380 Colmenar de Oreja, Madrid, Spain",driving,best_guess,1530000000,19046,28043,3487
OK,83207,3779,"19200 Azuqueca de Henares, Guadalajara, Spain","Colmenarejo, Madrid, Spain",driving,best_guess,1530000000,19046,28044,3894
OK,67894,3087,"19200 Azuqueca de Henares, Guadalajara, Spain","28770 Colmenar Viejo, Madrid, Spain",driving,best_guess,1530000000,19046,28045,3225
OK,93697,3906,"19200 Azuqueca de Henares, Guadalajara, Spain","Collado Mediano, Madrid, Spain",driving,best_guess,1530000000,19046,28046,4028
