status,distance,duration,origin,destination,mode,traffic,departure_time,origin_ine_code,dest_ine_code,duration_in_traffic
OK,50462,7364,"45210 Yuncos, Toledo, Spain","Vicálvaro, Madrid, Spain",transit,NA,1530000000,45205,28079-19,NA
OK,50084,6618,"45210 Yuncos, Toledo, Spain","San Blas, Madrid, Spain",transit,NA,1530000000,45205,28079-20,NA
OK,53660,7795,"45210 Yuncos, Toledo, Spain","Barajas, 28042 Madrid, Spain",transit,NA,1530000000,45205,28079-21,NA
OK,76038,10265,"45210 Yuncos, Toledo, Spain","Majadahonda, Madrid, Spain",transit,NA,1530000000,45205,28080,NA
OK,79537,7826,"45210 Yuncos, Toledo, Spain","28880 Meco, Madrid, Spain",transit,NA,1530000000,45205,28083,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Mejorada del Campo, Madrid, Spain",transit,NA,1530000000,45205,28084,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28950 Moraleja de Enmedio, Madrid, Spain",transit,NA,1530000000,45205,28089,NA
OK,45452,5851,"45210 Yuncos, Toledo, Spain","Móstoles, Madrid, Spain",transit,NA,1530000000,45205,28092,NA
OK,61328,8114,"45210 Yuncos, Toledo, Spain","Navalcarnero, 28600, Madrid, Spain",transit,NA,1530000000,45205,28096,NA
OK,20103,3167,"45210 Yuncos, Toledo, Spain","Parla, Madrid, Spain",transit,NA,1530000000,45205,28106,NA
OK,39494,5765,"45210 Yuncos, Toledo, Spain","28320 Pinto, Madrid, Spain",transit,NA,1530000000,45205,28113,NA
OK,60965,7205,"45210 Yuncos, Toledo, Spain","Pozuelo de Alarcón, Madrid, Spain",transit,NA,1530000000,45205,28115,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28693 Quijorna, Madrid, Spain",transit,NA,1530000000,45205,28119,NA
OK,103040,13385,"45210 Yuncos, Toledo, Spain","28721 Redueña, Madrid, Spain",transit,NA,1530000000,45205,28121,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Rivas-Vaciamadrid, Madrid, Spain",transit,NA,1530000000,45205,28123,NA
OK,65725,7265,"45210 Yuncos, Toledo, Spain","Las Rozas, Madrid, Spain",transit,NA,1530000000,45205,28127,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28649 Rozas de Puerto Real, Madrid, Spain",transit,NA,1530000000,45205,28128,NA
OK,75769,9125,"45210 Yuncos, Toledo, Spain","28750 San Agustín del Guadalix, Madrid, Spain",transit,NA,1530000000,45205,28129,NA
OK,61894,8938,"45210 Yuncos, Toledo, Spain","San Fernando de Henares, 28830, Madrid, Spain",transit,NA,1530000000,45205,28130,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28330 San Martín de la Vega, Madrid, Spain",transit,NA,1530000000,45205,28132,NA
OK,115678,10985,"45210 Yuncos, Toledo, Spain","28680 San Martín de Valdeiglesias, Madrid, Spain",transit,NA,1530000000,45205,28133,NA
OK,65873,9113,"45210 Yuncos, Toledo, Spain","San Sebastián de los Reyes, Madrid, Spain",transit,NA,1530000000,45205,28134,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Serranillos del Valle, Madrid, Spain",transit,NA,1530000000,45205,28140,NA
OK,67039,7565,"45210 Yuncos, Toledo, Spain","Torrejón de Ardoz, Madrid, Spain",transit,NA,1530000000,45205,28148,NA
OK,14050,1805,"45210 Yuncos, Toledo, Spain","Torrejón de la Calzada, Madrid, Spain",transit,NA,1530000000,45205,28149,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28990 Torrejón de Velasco, Madrid, Spain",transit,NA,1530000000,45205,28150,NA
OK,113500,12606,"45210 Yuncos, Toledo, Spain","28250 Torrelodones, Madrid, Spain",transit,NA,1530000000,45205,28152,NA
OK,105008,13445,"45210 Yuncos, Toledo, Spain","28189 Torremocha de Jarama, Madrid, Spain",transit,NA,1530000000,45205,28153,NA
OK,82654,10841,"45210 Yuncos, Toledo, Spain","28813 Torres de la Alameda, Madrid, Spain",transit,NA,1530000000,45205,28154,NA
OK,45797,6065,"45210 Yuncos, Toledo, Spain","Valdemoro, Madrid, Spain",transit,NA,1530000000,45205,28161,NA
