status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Rivas-Vaciamadrid,28123,bicycling,NA,48309,9375,9375,1530000000
OK,Alovera,19024,Las Rozas de Madrid,28127,bicycling,NA,83627,16929,16929,1530000000
OK,Alovera,19024,San Agustín del Guadalix,28129,bicycling,NA,46623,10042,10042,1530000000
OK,Alovera,19024,San Fernando de Henares,28130,bicycling,NA,35525,6990,6990,1530000000
OK,Alovera,19024,San Sebastián de los Reyes,28134,bicycling,NA,37505,7969,7969,1530000000
OK,Alovera,19024,Los Santos de la Humosa,28137,bicycling,NA,15136,3955,3955,1530000000
OK,Alovera,19024,Soto del Real,28144,bicycling,NA,70595,15508,15508,1530000000
OK,Alovera,19024,Torrejón de Ardoz,28148,bicycling,NA,29989,5576,5576,1530000000
OK,Alovera,19024,Torres de la Alameda,28154,bicycling,NA,29809,6134,6134,1530000000
OK,Alovera,19024,Valdeavero,28156,bicycling,NA,10177,2380,2380,1530000000
OK,Alovera,19024,Valdemoro,28161,bicycling,NA,73876,14127,14127,1530000000
OK,Alovera,19024,Velilla de San Antonio,28167,bicycling,NA,41701,7756,7756,1530000000
OK,Alovera,19024,Villalbilla,28172,bicycling,NA,29518,6121,6121,1530000000
OK,Alovera,19024,Villanueva de la Cañada,28176,bicycling,NA,95097,19231,19231,1530000000
OK,Alovera,19024,Villaviciosa de Odón,28181,bicycling,NA,84040,16756,16756,1530000000
OK,Alovera,19024,Lozoyuela-Navas-Sieteiglesias,28901,bicycling,NA,58620,13142,13142,1530000000
OK,Alovera,19024,Tres Cantos,28903,bicycling,NA,56195,12262,12262,1530000000
OK,Azuqueca de Henares,19046,Ajalvir,28002,bicycling,NA,22373,5000,5000,1530000000
OK,Azuqueca de Henares,19046,El Alamo,28004,bicycling,NA,95369,18811,18811,1530000000
OK,Azuqueca de Henares,19046,Alcalá de Henares,28005,bicycling,NA,14628,2662,2662,1530000000
OK,Azuqueca de Henares,19046,Alcobendas,28006,bicycling,NA,39284,8524,8524,1530000000
OK,Azuqueca de Henares,19046,Alcorcón,28007,bicycling,NA,69489,14476,14476,1530000000
OK,Azuqueca de Henares,19046,Aldea del Fresno,28008,bicycling,NA,108796,21117,21117,1530000000
OK,Azuqueca de Henares,19046,Algete,28009,bicycling,NA,24652,5531,5531,1530000000
OK,Azuqueca de Henares,19046,Ambite,28011,bicycling,NA,37465,8107,8107,1530000000
OK,Azuqueca de Henares,19046,Anchuelo,28012,bicycling,NA,16294,4320,4320,1530000000
OK,Azuqueca de Henares,19046,Aranjuez,28013,bicycling,NA,77184,14709,14709,1530000000
OK,Azuqueca de Henares,19046,Arganda del Rey,28014,bicycling,NA,37485,7564,7564,1530000000
OK,Azuqueca de Henares,19046,Arroyomolinos,28015,bicycling,NA,85779,17338,17338,1530000000
OK,Azuqueca de Henares,19046,El Atazar,28016,bicycling,NA,61773,15265,15265,1530000000
OK,Azuqueca de Henares,19046,El Berrueco,28021,bicycling,NA,52367,11858,11858,1530000000
