status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,60725,2808,2470,"19208 Alovera, Guadalajara, Spain","Carabanchel, Madrid, Spain",driving,optimistic,1530000000
OK,58635,2699,2417,"19208 Alovera, Guadalajara, Spain","Usera, Madrid, Spain",driving,optimistic,1530000000
OK,53885,2476,2237,"19208 Alovera, Guadalajara, Spain","Puente de Vallecas, Madrid, Spain",driving,optimistic,1530000000
OK,50425,2233,2004,"19208 Alovera, Guadalajara, Spain","Moratalaz, 28030 Madrid, Spain",driving,optimistic,1530000000
OK,45945,2046,1842,"19208 Alovera, Guadalajara, Spain","Ciudad Lineal, Madrid, Spain",driving,optimistic,1530000000
OK,45870,2073,1847,"19208 Alovera, Guadalajara, Spain","Hortaleza, Madrid, Spain",driving,optimistic,1530000000
OK,59378,2699,2470,"19208 Alovera, Guadalajara, Spain","Villaverde, Madrid, Spain",driving,optimistic,1530000000
OK,50814,1922,1769,"19208 Alovera, Guadalajara, Spain","Villa de Vallecas, Madrid, Spain",driving,optimistic,1530000000
OK,50140,2343,2193,"19208 Alovera, Guadalajara, Spain","Vicálvaro, Madrid, Spain",driving,optimistic,1530000000
OK,45124,2137,1883,"19208 Alovera, Guadalajara, Spain","San Blas, Madrid, Spain",driving,optimistic,1530000000
OK,43440,2012,1854,"19208 Alovera, Guadalajara, Spain","Barajas, 28042 Madrid, Spain",driving,optimistic,1530000000
OK,72364,2999,2821,"19208 Alovera, Guadalajara, Spain","Majadahonda, Madrid, Spain",driving,optimistic,1530000000
OK,11139,834,792,"19208 Alovera, Guadalajara, Spain","28880 Meco, Madrid, Spain",driving,optimistic,1530000000
OK,36398,1774,1679,"19208 Alovera, Guadalajara, Spain","Mejorada del Campo, Madrid, Spain",driving,optimistic,1530000000
OK,92047,3882,3691,"19208 Alovera, Guadalajara, Spain","Moralzarzal, Madrid, Spain",driving,optimistic,1530000000
OK,74680,3282,2989,"19208 Alovera, Guadalajara, Spain","Móstoles, Madrid, Spain",driving,optimistic,1530000000
OK,86210,3503,3245,"19208 Alovera, Guadalajara, Spain","Navalcarnero, 28600, Madrid, Spain",driving,optimistic,1530000000
OK,43953,1897,1744,"19208 Alovera, Guadalajara, Spain","Paracuellos de Jarama, Madrid, Spain",driving,optimistic,1530000000
OK,74487,3016,2767,"19208 Alovera, Guadalajara, Spain","Parla, Madrid, Spain",driving,optimistic,1530000000
OK,69315,2681,2468,"19208 Alovera, Guadalajara, Spain","28320 Pinto, Madrid, Spain",driving,optimistic,1530000000
OK,66978,2765,2597,"19208 Alovera, Guadalajara, Spain","Pozuelo de Alarcón, Madrid, Spain",driving,optimistic,1530000000
OK,53075,2318,2112,"19208 Alovera, Guadalajara, Spain","Rivas-Vaciamadrid, Madrid, Spain",driving,optimistic,1530000000
OK,71686,2919,2754,"19208 Alovera, Guadalajara, Spain","Las Rozas, Madrid, Spain",driving,optimistic,1530000000
OK,55104,2331,2192,"19208 Alovera, Guadalajara, Spain","28750 San Agustín del Guadalix, Madrid, Spain",driving,optimistic,1530000000
OK,40116,1681,1538,"19208 Alovera, Guadalajara, Spain","San Fernando de Henares, 28830, Madrid, Spain",driving,optimistic,1530000000
OK,45338,2090,1972,"19208 Alovera, Guadalajara, Spain","San Sebastián de los Reyes, Madrid, Spain",driving,optimistic,1530000000
OK,17199,924,867,"19208 Alovera, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",driving,optimistic,1530000000
OK,82397,3372,3206,"19208 Alovera, Guadalajara, Spain","28791 Soto del Real, Madrid, Spain",driving,optimistic,1530000000
OK,30617,1643,1472,"19208 Alovera, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",driving,optimistic,1530000000
OK,34965,1664,1565,"19208 Alovera, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",driving,optimistic,1530000000
OK,15671,1216,1201,"19208 Alovera, Guadalajara, Spain","Valdeavero, Madrid, Spain",driving,optimistic,1530000000
OK,72437,2771,2550,"19208 Alovera, Guadalajara, Spain","Valdemoro, Madrid, Spain",driving,optimistic,1530000000
OK,40069,1987,1826,"19208 Alovera, Guadalajara, Spain","Velilla de San Antonio, Madrid, Spain",driving,optimistic,1530000000
OK,34460,1818,1673,"19208 Alovera, Guadalajara, Spain","28810 Villalbilla, Madrid, Spain",driving,optimistic,1530000000
OK,89828,3710,3506,"19208 Alovera, Guadalajara, Spain","28691 Villanueva de la Cañada, Madrid, Spain",driving,optimistic,1530000000
OK,79437,3284,3037,"19208 Alovera, Guadalajara, Spain","Villaviciosa de Odón, Madrid, Spain",driving,optimistic,1530000000
OK,87028,3249,3046,"19208 Alovera, Guadalajara, Spain","28752 Lozoyuela, Madrid, Spain",driving,optimistic,1530000000
OK,61719,2583,2436,"19208 Alovera, Guadalajara, Spain","28760 Tres Cantos, Madrid, Spain",driving,optimistic,1530000000
OK,27556,1455,1346,"19200 Azuqueca de Henares, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,optimistic,1530000000
OK,85785,3551,3317,"19200 Azuqueca de Henares, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,optimistic,1530000000
OK,14366,1284,1098,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,optimistic,1530000000
OK,39579,1948,1796,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,optimistic,1530000000
