status,distance.value,duration.value,duration_in_traffic.value,origin,origin_ine_code,dest_ine_code,destination
OK,50425,2234,2261,"19208 Alovera, Guadalajara, Spain",19024,28079-14,"Moratalaz, 28030 Madrid, Spain"
OK,45945,2045,2073,"19208 Alovera, Guadalajara, Spain",19024,28079-15,"Ciudad Lineal, Madrid, Spain"
OK,45870,2073,2105,"19208 Alovera, Guadalajara, Spain",19024,28079-16,"Hortaleza, Madrid, Spain"
OK,59378,2740,2783,"19208 Alovera, Guadalajara, Spain",19024,28079-17,"Villaverde, Madrid, Spain"
OK,50814,1921,1945,"19208 Alovera, Guadalajara, Spain",19024,28079-18,"Villa de Vallecas, Madrid, Spain"
OK,50140,2350,2371,"19208 Alovera, Guadalajara, Spain",19024,28079-19,"Vicálvaro, Madrid, Spain"
OK,45124,2137,2163,"19208 Alovera, Guadalajara, Spain",19024,28079-20,"San Blas, Madrid, Spain"
OK,43440,2012,2043,"19208 Alovera, Guadalajara, Spain",19024,28079-21,"Barajas, 28042 Madrid, Spain"
OK,72364,3003,3108,"19208 Alovera, Guadalajara, Spain",19024,28080,"Majadahonda, Madrid, Spain"
OK,11139,832,854,"19208 Alovera, Guadalajara, Spain",19024,28083,"28880 Meco, Madrid, Spain"
OK,36398,1775,1817,"19208 Alovera, Guadalajara, Spain",19024,28084,"Mejorada del Campo, Madrid, Spain"
OK,92047,3882,4020,"19208 Alovera, Guadalajara, Spain",19024,28090,"Moralzarzal, Madrid, Spain"
OK,74680,3283,3314,"19208 Alovera, Guadalajara, Spain",19024,28092,"Móstoles, Madrid, Spain"
OK,86210,3496,3533,"19208 Alovera, Guadalajara, Spain",19024,28096,"Navalcarnero, 28600, Madrid, Spain"
OK,43953,1894,1918,"19208 Alovera, Guadalajara, Spain",19024,28104,"Paracuellos de Jarama, Madrid, Spain"
OK,74487,3016,3057,"19208 Alovera, Guadalajara, Spain",19024,28106,"Parla, Madrid, Spain"
OK,69315,2681,2717,"19208 Alovera, Guadalajara, Spain",19024,28113,"28320 Pinto, Madrid, Spain"
OK,66978,2768,2863,"19208 Alovera, Guadalajara, Spain",19024,28115,"Pozuelo de Alarcón, Madrid, Spain"
OK,53075,2317,2345,"19208 Alovera, Guadalajara, Spain",19024,28123,"Rivas-Vaciamadrid, Madrid, Spain"
OK,71686,2921,3020,"19208 Alovera, Guadalajara, Spain",19024,28127,"Las Rozas, Madrid, Spain"
OK,55104,2325,2376,"19208 Alovera, Guadalajara, Spain",19024,28129,"28750 San Agustín del Guadalix, Madrid, Spain"
OK,40116,1680,1697,"19208 Alovera, Guadalajara, Spain",19024,28130,"San Fernando de Henares, 28830, Madrid, Spain"
OK,45338,2095,2138,"19208 Alovera, Guadalajara, Spain",19024,28134,"San Sebastián de los Reyes, Madrid, Spain"
OK,17199,925,948,"19208 Alovera, Guadalajara, Spain",19024,28137,"28817 Los Santos de la Humosa, Madrid, Spain"
OK,82397,3373,3529,"19208 Alovera, Guadalajara, Spain",19024,28144,"28791 Soto del Real, Madrid, Spain"
OK,30617,1644,1675,"19208 Alovera, Guadalajara, Spain",19024,28148,"Torrejón de Ardoz, Madrid, Spain"
OK,34965,1665,1732,"19208 Alovera, Guadalajara, Spain",19024,28154,"28813 Torres de la Alameda, Madrid, Spain"
OK,15671,1232,1258,"19208 Alovera, Guadalajara, Spain",19024,28156,"Valdeavero, Madrid, Spain"
OK,72437,2769,2809,"19208 Alovera, Guadalajara, Spain",19024,28161,"Valdemoro, Madrid, Spain"
OK,40069,1984,2014,"19208 Alovera, Guadalajara, Spain",19024,28167,"Velilla de San Antonio, Madrid, Spain"
OK,34460,1818,1868,"19208 Alovera, Guadalajara, Spain",19024,28172,"28810 Villalbilla, Madrid, Spain"
OK,89828,3713,3831,"19208 Alovera, Guadalajara, Spain",19024,28176,"28691 Villanueva de la Cañada, Madrid, Spain"
OK,79437,3285,3316,"19208 Alovera, Guadalajara, Spain",19024,28181,"Villaviciosa de Odón, Madrid, Spain"
OK,87028,3250,3308,"19208 Alovera, Guadalajara, Spain",19024,28901,"28752 Lozoyuela, Madrid, Spain"
OK,61719,2587,2690,"19208 Alovera, Guadalajara, Spain",19024,28903,"28760 Tres Cantos, Madrid, Spain"
OK,27556,1454,1504,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28002,"28864 Ajalvir, Madrid, Spain"
OK,85785,3541,3621,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28004,"28607 El Álamo, Madrid, Spain"
OK,14366,1282,1352,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28005,"Alcala de Henares, Madrid, Spain"
OK,39579,1945,2009,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28006,"Alcobendas, Madrid, Spain"
OK,61846,2776,2825,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28007,"Alcorcón, Madrid, Spain"
OK,98885,4252,4336,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28008,"28620 Aldea del Fresno, Madrid, Spain"
OK,35749,1680,1739,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28009,"28110 Algete, Madrid, Spain"
OK,41533,2437,2499,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28011,"28580 Ambite, Madrid, Spain"
OK,18464,1331,1361,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28012,"28818 Anchuelo, Madrid, Spain"
OK,87734,3673,3759,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28013,"28300 Aranjuez, Madrid, Spain"
OK,41222,2055,2136,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,77064,3261,3306,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,68437,4085,4297,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28016,"28189 El Atazar, Madrid, Spain"
OK,79036,3164,3224,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28021,"28192 El Berrueco, Madrid, Spain"
OK,71542,2922,2956,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28022,"Boadilla del Monte, Madrid, Spain"
OK,96306,3738,3799,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28024,"28737 Braojos, Madrid, Spain"
OK,82086,3530,3579,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28026,"28690 Brunete, Madrid, Spain"
OK,10555,800,818,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,40482,2186,2286,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28033,"28510 Campo Real, Madrid, Spain"
OK,139121,6051,6149,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28037,"28650 Cenicientos, Madrid, Spain"
OK,95240,4255,4424,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28038,"Cercedilla, Madrid, Spain"
OK,74796,3279,3365,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28040,"28350 Ciempozuelos, Madrid, Spain"
OK,30979,1575,1623,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28041,"28863 Cobeña, Madrid, Spain"
OK,104683,4172,4275,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28042,"28213 Colmenar del Arroyo, Madrid, Spain"
OK,72737,3343,3487,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28043,"28380 Colmenar de Oreja, Madrid, Spain"
OK,83207,3779,3894,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28044,"Colmenarejo, Madrid, Spain"
OK,67894,3087,3225,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28045,"28770 Colmenar Viejo, Madrid, Spain"
OK,93697,3906,4028,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28046,"Collado Mediano, Madrid, Spain"
OK,87051,3524,3641,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28047,"28400 Collado Villalba, Madrid, Spain"
OK,33369,2053,2126,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28048,"28811 Corpa, Madrid, Spain"
OK,36056,1733,1758,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28049,"Coslada, Madrid, Spain"
OK,80453,3367,3434,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28050,"28978 Cubas de la Sagra, Madrid, Spain"
OK,71878,3475,3621,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28052,"28370 Chinchón, Madrid, Spain"
OK,25145,1363,1419,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28053,"28814 Daganzo de Arriba, Madrid, Spain"
OK,31189,1556,1623,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28057,"28815 Fresno de Torote, Madrid, Spain"
OK,69344,2854,2897,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28058,"Fuenlabrada, Madrid, Spain"
OK,39754,1898,1967,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28059,"28140 Fuente el Saz de Jarama, Madrid, Spain"
OK,78538,3289,3371,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28060,"28597 Fuentidueña de Tajo, Madrid, Spain"
OK,82378,3801,3908,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28061,"Galapagar, Madrid, Spain"
OK,59292,2711,2760,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28065,"Getafe, Madrid, Spain"
OK,83084,3284,3363,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28066,"28971 Griñón, Madrid, Spain"
OK,73234,3019,3119,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28067,"28794 Guadalix de la Sierra, Madrid, Spain"
OK,94834,4025,4148,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28068,"Guadarrama, 28440, Madrid, Spain"
OK,72472,3088,3159,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28073,"Humanes de Madrid, Madrid, Spain"
OK,64707,2759,2806,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28074,"Leganés, Madrid, Spain"
